Preprocessing,Inference,Postprocessing,Tracking,OpFlow
4.2972,111.2454,4.0562,1.4338,0.0000
4.1696,110.2417,4.2816,1.3704,0.0000
4.2484,111.9499,4.5742,1.3707,0.0000
4.4247,110.1236,4.3175,1.3407,0.0000
4.3272,111.5573,4.0640,1.4036,0.0000
4.2576,111.0110,4.3230,1.4475,0.0000
4.2146,112.0066,4.5389,1.3031,0.0000
4.4903,111.4086,4.4483,1.3979,0.0000
4.3283,111.8607,4.0450,1.3258,0.0000
4.2245,111.7005,4.4271,1.4637,0.0000
4.1721,111.2019,4.4380,1.3801,0.0000
4.2558,110.3704,4.3168,1.3403,0.0000
4.2611,111.7972,3.9797,1.3130,0.0000
4.2289,110.9074,4.2641,1.3519,0.0000
4.2101,111.9008,4.3770,1.3181,0.0000
4.4720,110.3348,4.2780,1.3342,0.0000
4.3057,111.6268,4.0719,1.2804,0.0000
4.2344,110.8413,4.3148,1.3403,0.0000
4.2107,111.6163,4.4910,1.3320,0.0000
5.0965,110.8163,4.3166,1.3125,0.0000
4.3040,111.6166,4.0505,1.3075,0.0000
4.2415,111.9164,4.3936,1.3232,0.0000
4.2045,112.1746,4.5134,1.2438,0.0000
4.2615,111.2885,4.1594,1.2323,0.0000
4.3016,110.7675,3.8504,1.3218,0.0000
4.1587,111.7998,4.2412,1.3398,0.0000
4.1801,111.5498,4.6032,1.2921,0.0000
4.1140,109.2555,4.2700,1.2028,0.0000
4.2806,110.6060,3.9360,1.2142,0.0000
4.2369,111.9913,4.3076,1.2736,0.0000
4.1975,110.9944,4.4242,1.2618,0.0000
4.0769,111.8303,4.3174,1.2591,0.0000
4.3054,112.2000,4.0095,1.2212,0.0000
4.1620,111.9967,4.3332,1.2804,0.0000
4.1966,111.7874,5.0313,1.3530,0.0000
4.1510,111.4008,4.4158,1.3193,0.0000
4.3961,112.0094,3.8620,1.2156,0.0000
4.2285,111.8515,4.2229,1.2828,0.0000
4.2018,111.4033,4.3639,1.2367,0.0000
5.4213,111.7897,4.3826,1.2504,0.0000
4.3499,110.5181,3.8180,1.2247,0.0000
4.2659,111.8979,4.4397,1.2543,0.0000
4.1762,112.0475,4.3887,1.2325,0.0000
4.4751,111.2367,4.2474,1.2094,0.0000
4.2852,110.1309,3.8223,1.1099,0.0000
4.2619,111.8125,4.2081,1.0821,0.0000
4.1768,111.9659,4.3416,1.1730,0.0000
4.5048,111.8633,4.2281,1.1847,0.0000
4.3151,112.0415,3.9832,1.0424,0.0000
4.1698,111.8752,4.1765,1.1630,0.0000
4.2130,111.9640,4.4081,1.1372,0.0000
4.1939,110.8367,4.2622,1.0116,0.0000
4.3397,111.5712,3.9064,1.2340,0.0000
4.2005,111.9418,4.2538,1.0431,0.0000
4.1334,111.8375,4.5210,1.1567,0.0000
4.4718,111.9541,4.4035,1.2646,0.0000
4.3090,111.1197,3.8791,1.2502,0.0000
4.1630,111.8912,4.2500,1.2299,0.0000
4.2037,111.0061,4.2705,1.2059,0.0000
